act-name,see,aka
"Department of Defense Appropriation Act, 1980	",,
"Department of Defense Appropriation Act, 1981	",,
"Department of Defense Appropriation Act, 1982	",,
"Department of Defense Appropriation Act, 1983	",,
"Department of Defense Appropriation Act, 1984	",,
"Department of Defense Appropriation Authorization Act, 1974	",,
"Department of Defense Appropriation Authorization Act, 1975	",,
"Department of Defense Appropriation Authorization Act, 1976	",,
"Department of Defense Appropriation Authorization Act, 1977	",,
"Department of Defense Appropriation Authorization Act, 1978	",,
"Department of Defense Appropriation Authorization Act, 1979	",,
"Department of Defense Appropriations Act, 1985	",,
"Department of Defense Appropriations Act, 1986	",,
"Department of Defense Appropriations  Act, 1987	",,
"Department of Defense Appropriations Act, 1988	",,
"Department of Defense Appropriations Act, 1989	",,
"Department of Defense Appropriations Act, 1990	",,
"Department of Defense Appropriations Act, 1991	",,
"Department of Defense Appropriations Act, 1992	",,
"Department of Defense Appropriations Act, 1993	",,
"Department of Defense Appropriations Act, 1994	",,
"Department of Defense Appropriations Act, 1995	",,
"Department of Defense Appropriations Act, 1996	",,
"Department of Defense Appropriations Act, 1997	",,
"Department of Defense Appropriations Act, 1998	",,
"Department of Defense Appropriations Act, 1999	",,
"Department of Defense Appropriations Act, 2000	",,
"Department of Defense Appropriations Act, 2001	",,
"Department of Defense Appropriations Act, 2002	",,
"Department of Defense Appropriations Act, 2003	",,
"Department of Defense Appropriations Act, 2004	",,
"Department of Defense Appropriations Act, 2005	",,
"Department of Defense Appropriations Act, 2006	",,
"Department of Defense Appropriations Act, 2007	",,
"Department of Defense Appropriations Act, 2008	",,
"Department of Defense Appropriations Act, 2009	",,
"Department of Defense Appropriations Act, 2010	",,
"Department of Defense Appropriations Act, 2011	",,
"Department of Defense Appropriations Act, 2012	",,
"Department of Defense Authorization Act, 1980	",,
"Department of Defense Authorization Act, 1981	",,
"Department of Defense Authorization Act, 1982	",,
"Department of Defense Authorization Act, 1983	",,
"Department of Defense Authorization Act, 1984	",,
"Department of Defense Authorization Act, 1985	",,
"Department of Defense Authorization Act, 1986	",,
"Department of Defense Authorization Act, 1987	",,
"Department of Defense Civilian Intelligence Personnel Policy Act of 1996	",,
"Department of Defense Reorganization Act of 1958	",,
"Department of Defense Supplemental Appropriation Authorization Act, 1974	",,
"Department of Defense Supplemental Appropriation Authorization Act, 1978	",,
"Department of Defense Supplemental Appropriation Authorization Act, 1979	",,
"Department of Defense Supplemental Authorization Act, 1981	",,
"Department of Defense, Emergency Supplemental Appropriations to Address Hurricanes in the Gulf of Mexico, and Pandemic Influenza Act, 2006 ",,
"Department of Education Appropriation Act, 1983	",,
"Department of Education Appropriation Act, 1985	",,
"Department of Education Appropriation Act, 1986	",,
"Department of Education Appropriations Act, 1987",,
"Department of Education Appropriations Act, 1988	",,
"Department of Education Appropriations Act, 1989	",,
"Department of Education Appropriations Act, 1990	",,
"Department of Education Appropriations Act, 1991	",,
"Department of Education Appropriations Act, 1992	",,
"Department of Education Appropriations Act, 1993	",,
"Department of Education Appropriations Act, 1994	",,
"Department of Education Appropriations Act, 1995	",,
"Department of Education Appropriations Act, 1996	",,
"Department of Education Appropriations Act, 1997	",,
"Department of Education Appropriations Act, 1998	",,
"Department of Education Appropriations Act, 1999	",,
"Department of Education Appropriations Act, 2000	",,
"Department of Education Appropriations Act, 2001	",,
"Department of Education Appropriations Act, 2002	",,
"Department of Education Appropriations Act, 2003	",,
"Department of Education Appropriations Act, 2004	",,
"Department of Education Appropriations Act, 2005	",,
"Department of Education Appropriations Act, 2006	",,
"Department of Education Appropriations Act, 2008	",,
"Department of Education Appropriations Act, 2009	",,
"Department of Education Appropriations Act, 2010	",,
"Department of Education Appropriations Act, 2012	",,
"Department of Education Organization Act	",,
"Department of Energy Act of 1978--Civilian Applications	",,
"Department of Energy Carbon Capture and Sequestration Research, Development, and Demonstration Act of 2007 ",,
"Department of Energy Facilities Safeguards, Security, and Counterintelligence Enhancement Act of 1999",,
"Department of Energy High-End Computing Revitalization Act of 2004	",,
"Department of Energy Metal Casting Competitiveness Research Act of 1990	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1979	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1980	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1981	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1982	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1985	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1986	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1987	",,
"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1988	",,
"Department of Energy Organization Act	",,
Department of Energy Science Education Enhancement Act,,
"Department of Energy Standardization Act of 1997	",,
"Department of Health and Human Services Appropriation Act, 1983	",,
"Department of Health and Human Services Appropriation Act, 1985	",,
"Department of Health and Human Services Appropriation Act, 1986	",,
"Department of Health and Human Services Appropriations Act, 1987",,
"Department of Health and Human Services Appropriations Act, 1988	",,
"Department of Health and Human Services Appropriations Act, 1989	",,
"Department of Health and Human Services Appropriations Act, 1990	",,
"Department of Health and Human Services Appropriations Act, 1991	",,
"Department of Health and Human Services Appropriations Act, 1992	",,
"Department of Health and Human Services Appropriations Act, 1993	",,
"Department of Health and Human Services Appropriations Act, 1994	",,
"Department of Health and Human Services Appropriations Act, 1995	",,
"Department of Health and Human Services Appropriations Act, 1996	",,
"Department of Health and Human Services Appropriations Act, 1997	",,
"Department of Health and Human Services Appropriations Act, 1998	",,
"Department of Health and Human Services Appropriations Act, 1999	",,
"Department of Health and Human Services Appropriations Act, 2000	",,
"Department of Health and Human Services Appropriations Act, 2001	",,
"Department of Health and Human Services Appropriations Act, 2002	",,
"Department of Health and Human Services Appropriations Act, 2003	",,
"Department of Health and Human Services Appropriations Act, 2004	",,
"Department of Health and Human Services Appropriations Act, 2005	",,
"Department of Health and Human Services Appropriations Act, 2006	",,
"Department of Health and Human Services Appropriations Act, 2008	",,
"Department of Health and Human Services Appropriations Act, 2009	",,
"Department of Health and Human Services Appropriations Act, 2010	",,
"Department of Health and Human Services Appropriations Act, 2012	",,
"Department of Health, Education, and Welfare Appropriation Act, 1954",,
"Department of Health, Education, and Welfare Appropriation Act, 1955",,
"Department of Health, Education, and Welfare Appropriation Act, 1956",,
"Department of Health, Education, and Welfare Appropriation Act, 1957",,
"Department of Health, Education, and Welfare Appropriation Act, 1958",,
"Department of Health, Education, and Welfare Appropriation Act, 1959",,
"Department of Health, Education, and Welfare Appropriation Act, 1960",,
"Department of Health, Education, and Welfare Appropriation Act, 1961",,
"Department of Health, Education, and Welfare Appropriation Act, 1962",,
"Department of Health, Education, and Welfare Appropriation Act, 1963",,
"Department of Health, Education, and Welfare Appropriation Act, 1964",,
"Department of Health, Education, and Welfare Appropriation Act, 1965",,
"Department of Health, Education, and Welfare Appropriation Act, 1966",,
"Department of Health, Education, and Welfare Appropriation Act, 1967",,
"Department of Health, Education, and Welfare Appropriation Act, 1968",,
"Department of Health, Education, and Welfare Appropriation Act, 1969",,
"Department of Health, Education, and Welfare Appropriation Act, 1970",,
"Department of Health, Education, and Welfare Appropriation Act, 1971",,
"Department of Health, Education, and Welfare Appropriation Act, 1972",,
"Department of Health, Education, and Welfare Appropriation Act, 1974",,
"Department of Health, Education, and Welfare Appropriation Act, 1979",,
"Department of Homeland Security Appropriations Act, 2004	",,
"Department of Homeland Security Appropriations Act, 2005	",,
"Department of Homeland Security Appropriations Act, 2006	",,
"Department of Homeland Security Appropriations Act, 2007	",,
"Department of Homeland Security Appropriations Act, 2008	",,
"Department of Homeland Security Appropriations Act, 2009	",,
"Department of Homeland Security Appropriations Act, 2010	",,
"Department of Homeland Security Appropriations Act, 2012	",,
"Department of Homeland Security Financial Accountability Act	",,
"Department of Housing and Urban Development Act	",,
"Department of Housing and Urban Development Appropriations Act, 2006	",,
"Department of Housing and Urban Development Appropriations Act, 2008	",,
"Department of Housing and Urban Development Appropriations Act, 2009	",,
"Department of Housing and Urban Development Appropriations Act, 2010	",,
"Department of Housing and Urban Development Appropriations Act, 2012	",,
"Department of Housing and Urban Development Reform Act of 1989	",,
"Department of Housing and Urban Development; Space, Science, Veterans, and Certain Other Independent Agencies Appropriation Act, 1972 ",,
"Department of Housing and Urban Development; Space, Science, Veterans, and Certain Other Independent Agencies Appropriation Act, 1973",,
"Department of Housing and Urban Development; Space, Science, Veterans, and Certain Other Independent Agencies Appropriation Act, 1974",,
"Department of Housing and Urban Development; Space, Science, Veterans, and Certain Other Independent Agencies Appropriation Act, 1975",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1976	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1977	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1978	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1979	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1980	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1981	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1982	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1983	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1984	",,
"Department of Housing and Urban Development--Independent Agencies Appropriation Act, 1985	",,
"Department of Housing and Urban Development--Independent Agencies Appropriations Act, 1986	",,
"Department of Housing and Urban Development--Independent Agencies Appropriations Act, 1987",,
"Department of Housing and Urban Development--Independent Agencies Appropriations Act, 1988	",,
"Department of Housing and Urban Development--Independent Agencies Appropriations Act, 1989	",,
"Department of Justice and Related Agencies Appropriation Act, 1984	",,
"Department of Justice and Related Agencies Appropriation Act, 1985	",,
"Department of Justice and Related Agencies Appropriations Act, 1992	",,
"Department of Justice and Related Agencies Appropriations Act, 1993	",,
"Department of Justice and Related Agencies Appropriations Act, 1994	",,
"Department of Justice and Related Agencies Appropriations Act, 1995	",,
"Department of Justice Appropriation Act, 1940",,
"Department of Justice Appropriation Act, 1941",,
"Department of Justice Appropriation Act, 1942",,
"Department of Justice Appropriation Act, 1943",,
"Department of Justice Appropriation Act, 1944",,
"Department of Justice Appropriation Act, 1945",,
"Department of Justice Appropriation Act, 1946",,
"Department of Justice Appropriation Act, 1947",,
"Department of Justice Appropriation Act, 1948",,
"Department of Justice Appropriation Act, 1949",,
"Department of Justice Appropriation Act, 1950",,
"Department of Justice Appropriation Act, 1951",,
"Department of Justice Appropriation Act, 1952",,
"Department of Justice Appropriation Act, 1953",,
"Department of Justice Appropriation Act, 1954",,
"Department of Justice Appropriation Act, 1955",,
"Department of Justice Appropriation Act, 1956",,
"Department of Justice Appropriation Act, 1957",,
"Department of Justice Appropriation Act, 1958	",,
"Department of Justice Appropriation Act, 1959	",,
"Department of Justice Appropriation Act, 1960	",,
"Department of Justice Appropriation Act, 1961	",,
"Department of Justice Appropriation Act, 1962	",,
"Department of Justice Appropriation Act, 1963	",,
"Department of Justice Appropriation Act, 1964	",,
"Department of Justice Appropriation Act, 1965	",,
"Department of Justice Appropriation Act, 1966	",,
"Department of Justice Appropriation Act, 1967	",,
"Department of Justice Appropriation Act, 1969	",,
"Department of Justice Appropriation Act, 1970	",,
"Department of Justice Appropriation Act, 1971	",,
"Department of Justice Appropriation Act, 1972	",,
"Department of Justice Appropriation Act, 1973	",,
"Department of Justice Appropriation Act, 1974	",,
"Department of Justice Appropriation Act, 1975	",,
"Department of Justice Appropriation Act, 1976	",,
"Department of Justice Appropriation Act, 1977	",,
"Department of Justice Appropriation Act, 1978	",,
"Department of Justice Appropriation Act, 1979	",,
"Department of Justice Appropriation Act, 1980	",,
"Department of Justice Appropriation Act, 1986	",,
"Department of Justice Appropriation  Act, 1987	",,
"Department of Justice Appropriation Act, 1988	",,
"Department of Justice Appropriation Authorization Act, Fiscal Year 1979 ",,
"Department of Justice Appropriation Authorization Act, Fiscal Year 1980 ",,
"Department of Justice Appropriations Act, 1989	",,
"Department of Justice Appropriations Act, 1990	",,
"Department of Justice Appropriations Act, 1991	",,
"Department of Justice Appropriations  Act, 1996	",,
"Department of Justice Appropriations Act, 1997	",,
"Department of Justice Appropriations Act, 1998	",,
"Department of Justice Appropriations Act, 1999	",,
"Department of Justice Appropriations Act, 2000	",,
"Department of Justice Appropriations Act, 2001	",,
"Department of Justice Appropriations Act, 2002	",,
"Department of Justice Appropriations Act, 2003	",,
"Department of Justice Appropriations Act, 2004	",,
"Department of Justice Appropriations Act, 2005	",,
"Department of Justice Appropriations Act, 2006	",,
"Department of Justice Appropriations Act, 2008	",,
"Department of Justice Appropriations Act, 2009	",,
"Department of Justice Appropriations Act, 2010	",,
"Department of Justice Appropriations Act, 2012	",,
"Department of Justice Appropriations Authorization Act of 2005	",,
"Department of Justice Assets Forfeiture Fund Amendments Act of 1986	",,
"Department of Labor Appropriation Act, 1940	",,
"Department of Labor Appropriation Act, 1941",,
"Department of Labor Appropriation Act, 1942",,
"Department of Labor Appropriation Act, 1943",,
"Department of Labor Appropriation Act, 1944",,
"Department of Labor Appropriation Act, 1945",,
"Department of Labor Appropriation Act, 1946",,
"Department of Labor Appropriation Act, 1947",,
"Department of Labor Appropriation Act, 1948",,
"Department of Labor Appropriation Act, 1949",,
"Department of Labor Appropriation Act, 1950",,
"Department of Labor Appropriation Act, 1951",,
"Department of Labor Appropriation Act, 1952",,
"Department of Labor Appropriation Act, 1953",,
"Department of Labor Appropriation Act, 1954",,
"Department of Labor Appropriation Act, 1955",,
"Department of Labor Appropriation Act, 1956",,
"Department of Labor Appropriation Act, 1957",,
"Department of Labor Appropriation Act, 1958	",,
"Department of Labor Appropriation Act, 1959	",,
"Department of Labor Appropriation Act, 1960	",,
"Department of Labor Appropriation Act, 1961	",,
"Department of Labor Appropriation Act, 1962	",,
"Department of Labor Appropriation Act, 1963	",,
"Department of Labor Appropriation Act, 1964	",,
"Department of Labor Appropriation Act, 1965	",,
"Department of Labor Appropriation Act, 1966	",,
"Department of Labor Appropriation Act, 1967	",,
"Department of Labor Appropriation Act, 1968	",,
"Department of Labor Appropriation Act, 1969	",,
"Department of Labor Appropriation Act, 1970	",,
"Department of Labor Appropriation Act, 1971	",,
"Department of Labor Appropriation Act, 1972	",,
"Department of Labor Appropriation Act, 1974	",,
"Department of Labor Appropriation Act, 1976	",,
"Department of Labor Appropriation Act, 1977	",,
"Department of Labor Appropriation Act, 1979	",,
"Department of Labor Appropriation Act, 1983	",,
"Department of Labor Appropriation Act, 1984	",,
"Department of Labor Appropriation Act, 1985	",,
"Department of Labor Appropriation Act, 1986	",,
"Department of Labor Appropriations Act, 1987",,
"Department of Labor Appropriations Act, 1988	",,
"Department of Labor Appropriations Act, 1989	",,
"Department of Labor Appropriations Act, 1990	",,
"Department of Labor Appropriations Act, 1991	",,
"Department of Labor Appropriations Act, 1992	",,
"Department of Labor Appropriations Act, 1993	",,
"Department of Labor Appropriations Act, 1994	",,
"Department of Labor Appropriations Act, 1995	",,
"Department of Labor Appropriations Act, 1996	",,
"Department of Labor Appropriations Act, 1997	",,
"Department of Labor Appropriations Act, 1998	",,
"Department of Labor Appropriations Act, 1999	",,
"Department of Labor Appropriations Act, 2000	",,
"Department of Labor Appropriations Act, 2001	",,
"Department of Labor Appropriations Act, 2002	",,
"Department of Labor Appropriations Act, 2003	",,
"Department of Labor Appropriations Act, 2004	",,
"Department of Labor Appropriations Act, 2005	",,
"Department of Labor Appropriations Act, 2006	",,
"Department of Labor Appropriations Act, 2008	",,
"Department of Labor Appropriations Act, 2009	",,
"Department of Labor Appropriations Act, 2010	",,
"Department of Labor Appropriations Act, 2012	",,
"Department of Labor Executive Level Conforming Amendments of 1986	",,
"Department of State and Related Agencies Appropriation Act, 1984	",,
"Department of State and Related Agencies Appropriation Act, 1985	",,
"Department of State and Related Agencies Appropriations Act, 1992	",,
"Department of State and Related Agencies Appropriations Act, 1993	",,
"Department of State and Related Agencies Appropriations Act, 1994	",,
"Department of State and Related Agencies Appropriations Act, 1995	",,
"Department of State and Related Agencies Appropriations Act, 1996	",,
"Department of State and Related Agencies Appropriations Act, 1997	",,
"Department of State and Related Agencies Appropriations Act, 1998	",,
"Department of State and Related Agencies Appropriations Act, 1999	",,
"Department of State and Related Agency Appropriations Act, 2000	",,
"Department of State and Related Agency Appropriations Act, 2001	",,
"Department of State and Related Agency Appropriations Act, 2002	",,
"Department of State and Related Agency Appropriations Act, 2003	",,
"Department of State and Related Agency Appropriations Act, 2004	",,
"Department of State and Related Agency Appropriations Act, 2005	",,
"Department of State and Related Agency Appropriations Act, 2006	",,
"Department of State Appropriation Act, 1937",,
"Department of State Appropriation Act, 1940",,
"Department of State Appropriation Act, 1941",,
"Department of State Appropriation Act, 1942",,
"Department of State Appropriation Act, 1943",,
"Department of State Appropriation Act, 1944",,
"Department of State Appropriation Act, 1945",,
"Department of State Appropriation Act, 1946",,
"Department of State Appropriation Act, 1947",,
"Department of State Appropriation Act, 1948",,
"Department of State Appropriation Act, 1949",,
"Department of State Appropriation Act, 1950",,
"Department of State Appropriation Act, 1951",,
"Department of State Appropriation Act, 1952",,
"Department of State Appropriation Act, 1953",,
"Department of State Appropriation Act, 1954",,
"Department of State Appropriation Act, 1955",,
"Department of State Appropriation Act, 1956",,
"Department of State Appropriation Act, 1957",,
"Department of State Appropriation Act, 1958	",,
"Department of State Appropriation Act, 1959	",,
"Department of State Appropriation Act, 1960	",,
"Department of State Appropriation Act, 1961	",,
"Department of State Appropriation Act, 1962	",,
"Department of State Appropriation Act, 1963	",,
"Department of State Appropriation Act, 1964	",,
"Department of State Appropriation Act, 1965	",,
"Department of State Appropriation Act, 1966	",,
"Department of State Appropriation Act, 1967	",,
"Department of State Appropriation Act, 1968	",,
"Department of State Appropriation Act, 1969	",,
"Department of State Appropriation Act, 1970	",,
"Department of State Appropriation Act, 1971	",,
"Department of State Appropriation Act, 1972	",,
"Department of State Appropriation Act, 1973	",,
"Department of State Appropriation Act, 1974	",,
"Department of State Appropriation Act, 1975	",,
"Department of State Appropriation Act, 1976	",,
"Department of State Appropriation Act, 1977	",,
"Department of State Appropriation  Act, 1978	",,
"Department of State Appropriation  Act, 1979	",,
"Department of State Appropriation  Act, 1980	",,
"Department of State Appropriation  Act, 1986	",,
"Department of State Appropriation  Act, 1987	",,
"Department of State Appropriation  Act, 1988	",,
"Department of State Appropriations  Act, 1989	",,
"Department of State Appropriations  Act, 1990	",,
"Department of State Appropriations  Act, 1991	",,
"Department of State Appropriations Authorization Act of 1973	",,
"Department of State Authorities Act of 2006	",,
"Department of State Authorization Act, Fiscal Year 2003 ",,
"Department of State Authorization Act, Fiscal Years 1980 and 1981 ",,
"Department of State Authorization Act, Fiscal Years 1982 and 1983 ",,
"Department of State Authorization Act, Fiscal Years 1984 and 1985 ",,
"Department of State Special Agents Retirement Act of 1998	",,
"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2008 ",,
"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2009 ",,
"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2010 ",,
"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2012 ",,
"Department of the Interior Airports Act	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1956	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1957	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1958	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1959	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1960	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1961	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1962	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1963	",,
"Department of the Interior and Related Agencies Appropriation  Act, 1964	",,
"Department of the Interior and Related Agencies Appropriation Act, 1965	",,
"Department of the Interior and Related Agencies Appropriation Act, 1966	",,
"Department of the Interior and Related Agencies Appropriation Act, 1967	",,
"Department of the Interior and Related Agencies Appropriation Act, 1968	",,
"Department of the Interior and Related Agencies Appropriation Act, 1969	",,
"Department of the Interior and Related Agencies Appropriation Act, 1970	",,
"Department of the Interior and Related Agencies Appropriation Act, 1971	",,
"Department of the Interior and Related Agencies Appropriation Act, 1972	",,
"Department of the Interior and Related Agencies Appropriation Act, 1973	",,
"Department of the Interior and Related Agencies Appropriation Act, 1974	",,
"Department of the Interior and Related Agencies Appropriation Act, 1975	",,
"Department of the Interior and Related Agencies Appropriation Act, 1976, and the period ending September 30 1976 ",,
"Department of the Interior and Related Agencies Appropriation Act, 1977	",,
"Department of the Interior and Related Agencies Appropriation Act, 1978	",,
"Department of the Interior and Related Agencies Appropriation Act, 1979	",,
"Department of the Interior and Related Agencies Appropriation Act, 1980	",,
"Department of the Interior and Related Agencies Appropriation Act, 1981	",,
"Department of the Interior and Related Agencies Appropriation Act, 1982	",,
"Department of the Interior and Related Agencies Appropriation Act, 1983	",,
"Department of the Interior and Related Agencies Appropriation Act, 1984	",,
"Department of the Interior and Related Agencies Appropriations Act, 1985	",,
"Department of the Interior and Related Agencies Appropriations Act, 1986	",,
"Department of the Interior and Related Agencies Appropriations  Act, 1987",,
"Department of the Interior and Related Agencies Appropriations Act, 1988	",,
"Department of the Interior and Related Agencies Appropriations Act, 1989	",,
"Department of the Interior and Related Agencies Appropriations Act, 1990	",,
"Department of the Interior and Related Agencies Appropriations Act, 1991	",,
"Department of the Interior and Related Agencies Appropriations Act, 1992	",,
"Department of the Interior and Related Agencies Appropriations Act, 1993	",,
"Department of the Interior and Related Agencies Appropriations Act, 1994	",,
"Department of the Interior and Related Agencies Appropriations Act, 1995	",,
"Department of the Interior and Related Agencies Appropriations Act, 1996	",,
"Department of the Interior and Related Agencies Appropriations Act, 1997	",,
"Department of the Interior and Related Agencies Appropriations Act, 1998	",,
"Department of the Interior and Related Agencies Appropriations Act, 1999	",,
"Department of the Interior and Related Agencies Appropriations Act, 2000	",,
"Department of the Interior and Related Agencies Appropriations Act, 2001	",,
"Department of the Interior and Related Agencies Appropriations Act, 2002	",,
"Department of the Interior and Related Agencies Appropriations Act, 2003	",,
"Department of the Interior and Related Agencies Appropriations Act, 2004	",,
"Department of the Interior and Related Agencies Appropriations Act, 2005	",,
"Department of the Interior Volunteer Recruitment Act of 2005	",,
"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2006 ",,
"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2008 nd Related Agencies Appropriations Act, 2006 ",,
"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2009 ",,
"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010 ",,
"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2012 ",,
"Department of the Navy Appropriation Act, 1949	",,
"Department of the Treasury Appropriations Act, 2006	",,
"Department of the Treasury Appropriations Act, 2008	",,
"Department of the Treasury Appropriations Act, 2009	",,
"Department of the Treasury Appropriations Act, 2010	",,
"Department of the Treasury Appropriations Act, 2012	",,
"Department of Transportation Act	",,
"Department of Transportation and Related Agencies Appropriation Act, 1970	",,
"Department of Transportation and Related Agencies Appropriation Act, 1972	",,
"Department of Transportation and Related Agencies Appropriation Act, 1973	",,
"Department of Transportation and Related Agencies Appropriation Act, 1974	",,
"Department of Transportation and Related Agencies Appropriation Act, 1975	",,
"Department of Transportation and Related Agencies Appropriation Act, 1976, and the period ending September 30 1976 ",,
"Department of Transportation and Related Agencies Appropriation Act, 1977	",,
"Department of Transportation and Related Agencies Appropriation Act, 1978	",,
"Department of Transportation and Related Agencies Appropriation Act, 1979	",,
"Department of Transportation and Related Agencies Appropriation Act, 1980	",,
"Department of Transportation and Related Agencies Appropriation Act, 1981	",,
"Department of Transportation and Related Agencies Appropriation Act, 1982	",,
"Department of Transportation and Related Agencies Appropriation Act, 1985	",,
"Department of Transportation and Related Agencies Appropriations Act, 1983	",,
"Department of Transportation and Related Agencies Appropriations Act, 1984	",,
"Department of Transportation and Related Agencies Appropriations Act, 1986	",,
"Department of Transportation and Related Agencies Appropriations Act, 1987",,
"Department of Transportation and Related Agencies Appropriations Act, 1988	",,
"Department of Transportation and Related Agencies Appropriations Act, 1989	",,
"Department of Transportation and Related Agencies Appropriations Act, 1990	",,
"Department of Transportation and Related Agencies Appropriations Act, 1991	",,
"Department of Transportation and Related Agencies Appropriations Act, 1992	",,
"Department of Transportation and Related Agencies Appropriations Act, 1993	",,
"Department of Transportation and Related Agencies Appropriations Act, 1994	",,
"Department of Transportation and Related Agencies Appropriations Act, 1995	",,
"Department of Transportation and Related Agencies Appropriations Act, 1996	",,
"Department of Transportation and Related Agencies Appropriations Act, 1997	",,
"Department of Transportation and Related Agencies Appropriations Act, 1998	",,
"Department of Transportation and Related Agencies Appropriations Act, 1999	",,
"Department of Transportation and Related Agencies Appropriations Act, 2000	",,
"Department of Transportation and Related Agencies Appropriations Act, 2001	",,
"Department of Transportation and Related Agencies Appropriations Act, 2002	",,
"Department of Transportation and Related Agencies Appropriations Act, 2003	",,
"Department of Transportation Appropriation Act, 1968	",,
"Department of Transportation Appropriation Act, 1969	",,
"Department of Transportation Appropriations Act, 2006	",,
"Department of Transportation Appropriations Act, 2008	",,
"Department of Transportation Appropriations Act, 2009	",,
"Department of Transportation Appropriations Act, 2010	",,
"Department of Transportation Appropriations Act, 2012	",,
"Department of Veterans Affairs Act	",,
"Department of Veterans Affairs Codification Act	",,
"Department of Veterans Affairs Emergency Preparedness Act of 2002	",,
"Department of Veterans Affairs Employment Reduction Assistance Act of 1999	",,
"Department of Veterans Affairs Health Care Personnel Enhancement Act of 2004	",,
"Department of Veterans Affairs Health Care Personnel Incentive Act of 1998	",,
"Department of Veterans Affairs Health Care Programs Enhancement Act of 2001	",,
"Department of Veterans Affairs Health-Care Personnel Act of 1991	",,
"Department of Veterans Affairs Information Security Enhancement Act of 2006	",,
"Department of Veterans Affairs Labor Relations Improvement Act of 1991	",,
"Department of Veterans Affairs Nurse Pay Act of 1990	",,
"Department of Veterans Affairs Physician and Dentist Recruitment and Retention Act of 1991	",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1984",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1985 ",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1986",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation  Act, 1987",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1988",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1989",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1990",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1991",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1992",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1993",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1994",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1995",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1996",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1997",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1998",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 1999",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 2000",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 2001",,
"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriation Act, 2002",,
