SP800-87 Code,Parent,SP800-87 Description
49SR,,International Union of Radio Sciences 
49SS,,International Union of Psychological Science 
49ST,,International Union of Theoretical and Applied Mechanics 
49SU,,International Council of Scientific Unions 
49SV,,International Union for Pure and Applied Biophysics 
49SW,,International Union of Microbiological Societies 
49SX,,International Union of Crystallography 
49SY,,Pacific Science Association 
49SZ,,Committee on Science and Technology for Development 
5000,,Securities and Exchange Commission 
5094,,Securities Investor Protection Corporation 
5100,,Federal Deposit Insurance Corporation 
5400,,Federal Labor Relations Authority 
5600,,Central Intelligence Agency 
5700,,"Department of the Air Force (Headquarters, USAF)"
5701,5700,Air Force Management Engineering Agency 
5702,5700,Air Force Inspection and Safety Center 
5703,5700,Air Force Operational Test and Evaluation Center 
5704,5700,Air Force Communications Agency 
5705,5700,Air Force Intelligence Service 
5706,5700,Air Force Audit Agency 
5707,5700,Air Force Office of Special Investigations 
5708,5700,Air Force Office of Security Police 
5709,5700,Air Force Personnel Center 
5711,5700,Air Force Manpower Agency 
570B,5700,U.S. Air Force Academy 
570D,5700,"U.S. Air Forces, Europe "
570I,5700,Air Reserve Personnel Center 
570J,5700,Air Training Command 
570K,5700,Air University 
570M,5700,"Headquarters, Air Force Reserve "
570N,5700,"Immediate Office, Headquarters, USAF "
570R,5700,Pacific Air Forces 
570U,5700,Air Force Headquarters Air Intelligence Agency 
570Y,5700,Air Force Communications Command 
571A,5700,"Air Force C2 & Intelligence, Surveillance, & Reconnaissance "
571C,5700,Air Combat Command 
571G,5700,Air Force Logistics Management Agency 
571L,5700,Air Mobility Command 
571M,5700,Air Force Materiel Command 
571O,5700,Air Force Center for Quality and Management Innovation 
571P,5700,Air Force Real Property Agency 
571Q,5700,HQ AF Flight Standards Agency 
571S,5700,Space Command 
571W,5700,Air Force Engineering and Services Center 
5727,5700,Air Force Agency for Modeling and Simulation 
5728,5700,Air Force Communication and Information Center 
5729,5700,Air Force National Security Emergency Preparedness 
572A,5700,Air Force Cost Center 
572B,5700,Air Force Doctrine Center 
572C,5700,Air Force Civilian Personnel Management Center 
572D,5700,Air Force Personnel Operations Agency 
572E,5700,Air Force Legal Services Center 
572F,5700,Air Force Medical Services Center 
572G,5700,Air Force Service Information and News Center 
572H,5700,Air Force Combat Operations Staff 
572I,574Z,Air National Guard Support Center 
572K,5700,U.S. Air Force Historical Research Center 
572L,5700,Air Force Technical Applications Center 
572M,5700,Air Force Review Boards Office 
572N,5700,Air Force Center for Studies and Analyses 
572P,5700,Air Force Center for International Programs 
572Q,5700,Air Weather Service 
572R,5700,Air Force Program Executive Office 
572S,5700,HQ NORAD 
572T,5700,Air Force Supply Center 
572U,5700,"Air Force Morale, Welfare and Recreation Center "
572V,5700,Air Force Disposal Agency 
572W,5700,Air Force District of Washington 
572X,5700,Air Force Real Estate Agency 
572Y,5700,Air Force Pentagon Communications. Agency 
572Z,5700,HQ Air Force Medical Operations Agency 
5734,574Z,Air National Guard Units (Mobilization) (Title 5) 
573C,5700,"Air Force Elements, U.S. Central Command "
573D,5700,"Air Force Elements, U.S. Special Operations Command "
573G,5700,"Air Force Elements, Europe "
573I,5700,"Reservist, Centrally Managed "
573K,5700,HQ U.S. European Command 
573L,5700,Center for Air Force History 
573M,5700,"Air Force Elements, U.S. Southern Command "
573N,5700,"Air Force Elements, U.S. Atlantic Command "
573O,5700,"Air Force Elements, U.S. Pacific Command "
573Q,5700,"Air Force Elements, U.S. Strategic Command "
573R,5700,"Air Force Elements, U.S. Readiness Command "
573S,5700,"Headquarters, U.S. Space Command and NORAD "
573T,5700,Air Force Elements U.S. Transportation Command 
573V,5700,"Air Force Elements, Other than Europe "
573W,5700,Air Force Center for Environmental Excellence 
573Y,5700,Air Force Frequency Management Center 
573Z,5700,"Joint Services Survival, Evasion, Resistance and Escape Agency "
574Z,5700,Air National Guard 
57NG,574Z,Air National Guard Units (Title 32) 
57ZG,574Z,U.S. Special Operations Command (ANG Title 32) 
57ZS,5700,U.S. Special Operations Command (Air Force) 
5900,,National Foundation on the Arts and the Humanities
5915,5900,Federal Council on the Arts and the Humanities 
5920,5900,National Endowment for the Arts 
5940,5900,National Endowment for the Humanities 
5950,5900,Institute of Museum Services 
5963,,National Council on the Arts 
5966,,National Council on the Humanities 
6000,,Railroad Retirement Board 
6100,,Consumer Product Safety Commission 
6201,,Office of Special Counsel 
6300,,National Labor Relations Board 
6400,,Tennessee Valley Authority 
6500,,Federal Maritime Commission 
6800,,Environmental Protection Agency
6801,680S,Immediate Office of the Administrator of EPA 
6802,680S,Deputy Administrator 
6803,6800,Office of General Counsel 
6804,6800,Office of the Inspector General 
6805,6800,Assistant Administrator for Administration and Resources Management 
6809,6800,Assistant Administrator for International Affairs 
680S,6800,Office of the Administrator of EPA 
6820,6800,Assistant Administrator for Air and Radiation 
6825,6800,Assistant Administrator for Enforcement and Compliance Assurance 
6830,6800,"Assistant Administrator for Prevention, Pesticides, and Toxic Substances "
6840,6800,Assistant Administrator for Research and Development 
6845,6800,Assistant Administrator for Water 
6850,6800,Assistant Administrator for Solid Waste and Emergency Response 
6853,6800,Office of the Chief Financial Officer 
6860,6800,Commission on Risk Assessment and Risk Management 
68SA,680S,Associate Administrator for Office of Public Affairs 
68SB,680S,Associate Administrator for Congressional and Intergovernmental Relations 
68SC,680S,Office of Homeland Security 
68SD,680S,Environmental Appeals Board 
68SE,680S,Executive Secretariat 
68SF,680S,Office of Executive Services 
68SG,680S,Office of Administrative Law Judges 
68SH,680S,Office of Civil Rights 
68SJ,680S,Office of Cooperative Environmental Management 
68SK,680S,Office of Small and Disadvantaged Business Utilization 
68SL,680S,"Office of Policy, Economics and Innovation "
68SM,680S,Science Advisory Board 
68SN,680S,Office of Environmental Education
68SO,680S,Office of Children’s Health Protection
6900,,Department of Transportation
6901,690S,Immediate Office of the Secretary of Transportation 
6902,690S,Associate Deputy Secretary/ Office of Intermodalism 
6903,690S,Office of General Counsel 
6904,6900,Office of Inspector General 
6905,690S,Assistant Secretary for Administration 
6906,690S,Assist. Secretary for Budget and Programs/Chief Financial Officer 
6907,690S,Assistant Secretary for Governmental Affairs 
6908,690S,Assistant Secretary - Office of Public Affairs 
6909,690S,Assistant Secretary for Transportation Policy 
6910,690S,Office of the Chief Information Officer 
690S,6900,Office of the Secretary of Transportation 
6911,690S,Office of Civil Rights 
6912,690S,Board of Contract Appeals 
6913,6900,Office of Commercial Space Transportation 
6914,690S,Executive Secretariat 
6915,690S,"Office of Intelligence, Security and Emergency Response "
6916,690S,Office of Drug and Alcohol Policy and Compliance 
6917,690S,Deputy Secretary of Transportation 
6918,690S,OSDBU/Minority Business Resources Center 
6920,6900,Federal Aviation Administration 
6922,690S,Assistant Secretary for Aviation and International Affairs 
6925,6900,Federal Highway Administration 
6930,6900,Federal Railroad Administration 
6938,6900,Maritime Administration 
6940,6900,National Highway Traffic Safety Administration 
6943,6900,Research and Innovative Technology Administration 
6947,6900,Saint Lawrence Seaway Development Corporation 
6953,6900,Federal Motor Carrier Safety Administration 
6955,6900,Federal Transit Administration 
6957,6900,Pipeline and Hazardous Materials Safety Administration 
6959,,Surface Transportation Board - formerly ICC - code 3000 
6991,,National Railroad Passenger Corporation (AMTRAK) 
7000,,Department of Homeland Security
7001,7000,"Office of the Secretary, Department of Homeland Security "
7002,7001,Immediate Office of the Secretary 
7003,7001,Bureau of Citizenship and Immigration 
7004,7001,Office of the Inspector General 
7008,7001,U.S. Coast Guard 
7009,7001,U.S. Secret Service 
7012,7001,U.S. Immigration and Customs Enforcement
7013,7001,Transportation Security Administration 
7014,7001,U.S. Customs and Border Protection
7015,7001,Federal Law Enforcement Training Center 
7022,7001,Federal Emergency Management Agency 
7032,7001,Office for Information Analysis 
7033,7001,Office for Infrastructure Protection 
7040,7000,Under Secretary for Science and Technology 
7041,7040,Office of the Under Secretary for Science and Technology 
7050,7000,Under Secretary for Management 
7051,7050,Office of the Under Secretary for Management 
7100,,Overseas Private Investment Corporation 
7200,,U.S. Agency for International Development 
7300,,Small Business Administration 
7360,,National Women's Business Council 
7400,,American Battle Monuments Commission 
7500,,Department of Health and Human Services
7501,750S,Immediate Office of the Secretary of Health and Human Services 
7502,750S,Office of the Deputy Secretary of Health and Human Services 
7503,750S,Office of the General Counsel 
7504,750S,Office of the Inspector General 
7505,750S,Office of Assistant Secretary for Management and Budget 
7506,750S,Office of Assistant Secretary for Planning and Evaluation 
7507,750S,Office of Assistant Secretary for Legislation 
7508,750S,Office of Assistant Secretary for Public Affairs 
7509,750S,Office of Intergovernmental Affairs and Regional Directors 
7510,750S,Office of the Assistant Secretary for Resources and Technology
750S,7500,Office of the Secretary of Health and Human Services 
7511,750S,Office for Civil Rights 
7512,7500,Office of Assistant Secretary for Public Response
7515,750S,Office of Public Health and Science 
7516,750S,Departmental Appeals Board 
7520,750S,Public Health Service 
7521,750S,Office of the Assistant Secretary for Health & Surgeon General 
7522,750S,Substance Abuse and Mental Health Services Administration 
7523,750S,Centers for Disease Control and Prevention 
7524,750S,Food and Drug Administration 
7525,750S,Agency for Toxic Substances and Disease Registry 
7526,750S,Health Resources and Services Administration 
7527,750S,Indian Health Service 
7528,750S,Agency for Healthcare Research and Quality 
7529,750S,National Institutes of Health 
7530,7500,Centers for Medicare & Medicaid Services 
7545,7500,Administration on Aging 
7555,7500,Program Support Center 
7590,7500,Administration for Children and Families 
7635,,Christopher Columbus Fellowship Foundation 
7800,,Farm Credit Administration 
7881,,Bank for Cooperatives 
7884,,Farm Credit Banks 
7886,,Farm Credit System Financial Assistance Corporation 
7888,,Farm Credit System Insurance Corporation 
7889,,Federal Agricultural Mortgage Corporation (Farmer Mac) 
8000,,National Aeronautics and Space Administration
8001,8000,"Headquarters, NASA "
8020,8000,Ames Research Center 
8022,8000,Dryden Flight Research Center 
8025,8000,Space Station Program Office 
8026,8000,Goddard Space Flight Center 
8029,8000,"NASA Management Office, Jet Propulsion Laboratory "
8032,8000,Lyndon B. Johnson Space Center 
8035,8000,John F. Kennedy Space Center 
8038,8000,Langley Research Center 
8041,8000,John H. Glenn Research Center at Lewis Field 
8044,8000,George C. Marshall Space Flight Center 
8047,8000,John C. Stennis Space Center 
8291,,Neighborhood Reinvestment Corporation 
8300,,Export-Import Bank of the U.S. 
8400,84AF,United States Soldiers' and Airmen's Home 
84AF,,Armed Forces Retirement Home 
8600,,Department of Housing and Urban Development
8601,8600,Office of the Secretary of Housing and Urban Development 
8602,8601,Deputy Secretary of Housing and Urban Development 
8603,8600,Office of General Counsel 
8604,8600,Office of Inspector General 
8605,8600,Assistant Secretary for Administration 
8606,8600,Office of Chief Financial Officer 
8607,8600,Assistant Secretary for Congressional and Intergovernmental Relations 
8608,8600,Assistant Secretary for Public Affairs 
8611,8600,Assistant Secretary for Fair Housing and Equal Opportunity 
8613,8601,Board of Contract Appeals 
8615,8601,Administrative Law Judges 
8617,8601,Office of Small and Disadvantaged Business Utilization 
8620,8600,Assistant Secretary for Community Planning and Development 
8622,8601,Assistant Deputy Secretary for Field Policy and Management 
8625,8600,Government National Mortgage Association (Ginnie Mae) 
8627,8600,Office of Departmental Equal Employment Opportunity 
8630,8600,Assistant Secretary for Housing--Federal Housing Commissioner 
8635,8600,Assistant Secretary for Public and Indian Housing 
8645,8600,Assistant Secretary for Policy Development and Research 
8651,8600,Office of Departmental Operations and Coordination 
8652,8600,Office of the Chief Information Officer 
8653,8600,Office Healthy Homes and Lead Hazard Control 
8654,8600,Office of the Chief Procurement Officer
8656,8601,Office of Federal Housing Enterprise Oversight 
8658,8600,Center for Faith-based and Community Initiatives 
8659,8600,Office of Field Policy and Management 
865A,8600,"Office of the Field Policy and Management Region I, Boston Regional Office"
865B,8600,"Office of the Field Policy and Management Region II, New York Regional Office"
865C,8600,"Office of the Field Policy and Management Region III, Philadelphia Regional Office"
865D,8600,"Office of Field Policy and Management Region IV, Atlanta Regional Office"
865E,8600,"Office of Field Policy and Management Region V, Chicago Regional Office"
865F,8600,"Office of Field Policy and Management Region VI, Fort Worth Regional Office"
865G,8600,"Office of Field Policy and Management Region VII, Kansas City Regional Office"
865H,8600,"Office of Field Policy and Management Region VIII, Denver Regional Office"
865J,8600,"Office of Field Policy and Management Region IX, San Francisco Regional Office "
865K,8600,"Office of Field Policy and Management Region X, Seattle Regional Office "
8681,,Federal National Mortgage Association (Fannie Mae) 
8683,,Federal Home Loan Mortgage Corporation (Freddie Mac) 
8800,,National Archives and Records Administration
8852,,Information Security Oversight Office 
8861,,National Archives Trust Fund Board 
8862,,National Historical Publications and Records Commission 
8865,,Administrative Committee of the Federal Register 
8900,,Department of Energy
8901,8900,Office of the Secretary 
8903,8901,Office of General Counsel 
8904,8901,Office of Inspector General 
8905,8901,Assistant Secretary for Congressional and Intergovernmental Affairs
893C ,8901,Office of the Chief Financial Officer 
8915,8901,Office of Public Affairs 
8938,8901,Assistant Secretary for Policy and International Affairs
891C,8901,Office of Economic Impact and Diversity 
8906,8901,Office of Hearings and Appeals 
893H,8901,Office of Human Capital Management 
8929,8901,Office of Intelligence 
892E,8901,Office of the Secretary of Energy Advisory Board 
891H,8901,"Office of Health, Safety and Security"
891N,8901,Office of the Chief Information Officer
893M,8901,Office of Management 
892H,8901,Office of Counterintelligence 
89N0,8900,Deputy Under Secretary for Counterterrorism
892L,8901,Office of Electricity Delivery and Energy Reliability 
8932,8901,Office of Energy Information Administration 
8936,8901,Office of Legacy Management 
891S,8901,Office of the Departmental Representative to the Defense Nuclear Facilities Safety Board 
89N7,8900,Associate Administrator for Defense Nuclear Security
8921,8901,Assistant Secretary for Energy Efficiency and Renewable Energy 
8911,8901,Office of Civilian Radioactive Waste Management 
8917,8901,Assistant Secretary for Environmental Management
8928,8901,Assistant Secretary for Fossil Energy
8927,8901,"Office of Nuclear Energy, Science and Technology"
8925,8900,Office of Science
89RP,8900,Office of River Protection
89NA,8900,Office of Nuclear Security/National Nuclear Security Administration 
89N2,8900,Deputy Administrator for Defense Nuclear Nonproliferation
89N1,8900,Deputy Administration for Defense Programs
89N3,8900,Deputy Administrator for Naval Reactors 
89N4,89N3,Office of Emergency Operations 
89N5,8900,Associate Administrator for Facilities and Operations 
89N6,8900,Associate Administrator for Management and Administration 
89BP,8900,Bonneville Power Marketing Administration
89SE,8900,Southeastern Power Marketing Administration
89SW,8900,Southwestern Power Marketing Administration
89WA,8900,Western Area Power Marketing Administration 
89BC,8900,Ames Site Office 
89BD,8900,Argonne Site Office 
89BE,8900,Berkeley Site Office 
89BF,8900,Brookhaven Site Office 
89BA,8900,Chicago Site Office 
89BG,8900,Fermi Site Office 
89XT,8900,Kansas City Site Office 
89XU,8900,Los Alamos Site Office 
89XV,8900,Nevada Site Office
89XW,8900,Livermore Site Office 
89BB,8900,Oak Ridge Office 
89BH,8900,Pacific Northwest Site Office 
89XR,8900,Pantex Site Office 
89BI,8900,Princeton Site Office 
89BJ,8900,Stanford Site Office 
89ZA,8900,National Nuclear Security Administration Service Center
89SV,8900,Savannah River Site Office 
89XS,8900,Sandia Site Office 
89BK,8900,Thomas Jefferson Site Office 
89XQ,8900,Y-12 Site Office 
89AL,8900,Albuquerque Operations Office (non-NNSA) (EM) 
89CB,8900,Carlsbad Field Office 
8981,8900,Casper Naval Pet & Oil Shale Reserves 
8955,8900,Consolidated Business Center
8982,8900,Elk Hills Naval Pet & Oil Shale Reserves 
89GO,8900,Golden Field Office 
89ID,8900,Idaho Operations Office 
89NV,8900,Nevada Operations Office (non-National Nuclear Security Administration) (Environmental Management) 
89NW,8900,Oakland Operations Office (NNSA) (EM) 
89OH,8900,Ohio Field Office 
89X1,8900,Pittsburgh Naval Reactors Office 
89PP,8900,Portsmouth & Paducah Project Office 
89RL,8900,Richland Operations Office 
89RF,8900,Rocky Flats Project Office
89SR,8900,Savannah River Operations Office 
89X2,8900,Schenectady Naval Reactors Office 
8974,8900,Strategic Petroleum Reserve Office 
89NE,8900,National Energy Technology Laboratory 
8990,,Federal Energy Regulatory Commission 
9000,,Selective Service System 
9100,,Department of Education
9101,9100,Immediate Office of the Secretary of Education 
9102,9100,Office of the Deputy Secretary of Education 
9103,9100,Office of the General Counsel 
9104,9100,Office of Inspector General 
9105,9100,Office of Management 
9106,9100,Office of the Chief Financial Officer 
9107,9100,Office of Legislation and Congressional Affairs 
9108,9100,Office of the Under Secretary 
9109,9100,Office of Intergovernmental and Interagency Affairs 
9110,9100,Office of Public Affairs 
9111,,Office for Civil Rights 
9115,,Office of the Chief Information Officer 
9120,9100,Office of Vocational and Adult Education 
9121,9100,Office of English Language Acquisition 
9124,9100,Office of Special Education and Rehabilitative Services 
9125,9124,National Institute on Disability and Rehabilitation Research 
9126,9124,Rehabilitation Services Administration 
9127,9124,Office of Special Education Programs 
9128,9124,Immed. Office - Assist. Sec'y for Spec. Ed. & Rehab. Services 
9129,9134,Fund for the Improvement of Postsecondary Education 
9130,9134,Immediate Office of the Assist. Sec'y for Postsecondary Education 
9131,9100,Federal Student Aid 
9132,9139,Immed. Office - Assist. Sec'y for Ed. Research & Improvement 
9133,9134,Office of Higher Education Programs 
9134,9100,Office of Postsecondary Education 
9135,9139,Library Programs 
9136,9139,Office of Research 
9137,9139,Programs for the Improvement of Practice 
9138,9139,National Center for Education Statistics 
9139,9100,Institute of Education Sciences 
9140,9100,Compensatory Education Programs 
9141,9146,Immed. Office - Assist. Sec'y for Elementary & Secondary Ed. 
9142,9140,Migrant Education Programs 
9143,9140,School Support and Technology Programs
9144,9140,Impact Aid Programs 
9145,9140,Indian Education Programs 
9146,9100,Office of Elementary and Secondary Education 
9147,9140,School Improvement Programs 
916A,,Advisory Councils and Committees 
916B,,National Assessment Governing Board 
916C,,National Institute for Literacy 
916D,,Federal Interagency Committee on Education 
9150,9100,Office of Innovation and Improvement 
9155,9100,Office of Safe and Drug-Free Schools 
9181,,Student Loan Marketing Association (Sallie Mae) 
9182,,College Construction Loan Insurance Association (Connie Lee) 
9191,,American Printing House for the Blind 
9192,,Gallaudet University 
9193,,Howard University 
9194,,National Technical Institute for the Deaf 
9300,,Federal Mediation and Conciliation Service 
9502,,National Capital Planning Commission 
9504,,Federal Mine Safety and Health Review Commission 
9506,,Federal Election Commission 
9507,,Commodity Futures Trading Commission 
9508,,National Transportation Safety Board 
9509,,National Council on Disability 
9510,,Harry S. Truman Scholarship Foundation 
9512,,Japan-U.S. Friendship Commission 
9513,,Marine Mammal Commission 
9514,,Occupational Safety and Health Review Commission 
9516,,Defense Nuclear Facilities Safety Board 
9517,,Commission on Civil Rights 
9518,,Committee for Purchase from People who are Blind or Severely Disabled 
9522,,Centennial of Flight Commission 
9523,,Election Assistance Commission 
9524,,National Mediation Board 
9525,,National Counterintelligence Center 
9527,,National Commission on Libraries and Information Science 
9528,,Office of the Federal Coordinator Alaska Natural Gas Transportation Projects
9530,,Advisory Council On Historic Preservation 
9531,,United States Holocaust Memorial Museum 
9532,,Architectural and Transportation Barriers Compliance Board 
9535,,Institute of Am. Indian and Alaska Native Culture and Arts Development 
9537,,Commission of Fine Arts 
9540,,Federal Housing Finance Board 
9541,,James Madison Memorial Fellowship Foundation 
9543,,Millennium Challenge Corporation 
9545,,Morris K. Udall Scholar. & Excellence in Nat'l Enviro. Policy Foundation 
9547,,Delta Regional Authority 
9549,,Office of Government Ethics 
9554,,Interagency Council on the Homeless 
9555,,National Communications System 
9559,,"Federal Reserve System, Board of Governors "
9560,,Barry Goldwater Scholarship and Excellence in Education Foundation 
9562,,Federal Financial Institutions Examination Council 
9565,,Chemical Safety and Hazard Investigation Board 
9567,,Commission for the Preservation of America's Heritage Abroad 
9568,,Broadcasting Board of Governors 
9570,,Presidio Trust 
9572,,Delani Commission 
9574,,White House Commission on the National Moment of Remembrance 
9577,,Corporation for National and Community Service 
9580,,United States Institute of Peace 
9585,,Financing Corporation (FICO) 
9589,,United Mine Workers of America Benefit Funds 
9590,,Valles Caldera Trust 
9591,,Vietnam Education Foundation 
9593,,U.S. Court of Appeals for Veterans Claims 
9594,,Court Services and Offender Supervision Agency for the District of Columbia 
959D,9594,Office of the Director - CSOSA 
959P,9594,Pretrial Services Agency - CSOSA 
95HL,,Federal Home Loan Banks 
9668,,Mississippi River Commission 
96CE,2100,U.S. Army Corps of Engineers - civil program financing only 
96NC,,Permanent International Association of Navigation Congresses 
96RC,,Permanent International Association of Road Congresses 
9700,,Department of Defense (except military departments) 
9736,9700,Army/Air Force Exchange Service 
9748,9700,Defense Human Resources Activity 
9758,9700,Defense Prisoner of War/Missing Personnel Office 
9759,9700,Consolidated Metropolitan Technical Personnel Center 
9760,9700,TRICARE Management Activity 
9761,9700,Defense Threat Reduction Agency 
9762,9700,Defense Career Management and Support Agency 
9763,9700,Defense Contract Management Agency 
9765,9700,Pentagon Force Protection Agency 
9766,9700,Department of Defense Counterintelligence Field Activity 
9767,9700,Unified Combatant Command Headquarters 
9769,9700,National Defense University 
9770,9700,Armed Forces Radiobiology Research Institute 
9771,9700,Defense Microelectronics Activity 
9772,9700,Pentagon Renovation Program Office 
9773,9700,Virginia Contracting Activity 
9774,9700,Defense Technical Information Center 
97AB,9700,National Geospatial-Intelligence Agency 
97AD,9700,Office of the Secretary of Defense 
97AE,9700,Defense Advanced Research Projects Agency 
97AK,9700,Defense Information Systems Agency 
97AQ,9700,Defense Legal Services Agency 
97AR,9700,Defense Contract Audit Agency 
97AS,9700,Defense Logistics Agency 
97AT,9700,Defense Security Cooperation Agency 
97AU,9700,Defense Technology Security Administration 
97AV,9700,Defense Security Service 
97AZ,9700,Defense Commissary Agency 
97BJ,9700,Organization of the Joint Chiefs of Staff 
97BZ,9700,Defense Finance and Accounting Service 
97CG,9700,National Security Agency/Central Security Service 
97DL,9700,Defense Intelligence Agency 
97EX,9700,Office of the Inspector General 
97F1,9700,American Forces Information Service 
97F2,9700,Department of Defense Education Activity 
97F5,9700,Washington Headquarters Services 
97F6,9700,Office of Economic Adjustment 
97GZ,9700,U.S. Court of Appeals for the Armed Forces 
97JC,9700,Missile Defense Agency 
97NH,84AF,United States Naval Home 
